start_id,end_id,date
1,5000,2013-08-01T00:00:00Z
5001,55000,2013-08-15T00:00:00Z
55001,550000,2013-09-01T00:00:00Z
550001,5500000,2013-10-15T00:00:00Z
5500001,55000000,2014-02-01T00:00:00Z
55000001,150000000,2015-03-01T00:00:00Z
150000001,250000000,2016-01-01T00:00:00Z
250000001,350000000,2016-09-01T00:00:00Z
350000001,450000000,2017-04-01T00:00:00Z
450000001,550000000,2018-01-01T00:00:00Z
550000001,650000000,2018-08-01T00:00:00Z
650000001,750000000,2019-02-01T00:00:00Z
750000001,850000000,2019-08-01T00:00:00Z
850000001,950000000,2020-01-01T00:00:00Z
950000001,1050000000,2020-06-01T00:00:00Z
1050000001,1150000000,2020-10-01T00:00:00Z
1150000001,1250000000,2021-02-01T00:00:00Z
1250000001,1350000000,2021-06-01T00:00:00Z
1350000001,1450000000,2021-09-01T00:00:00Z
1450000001,1550000000,2021-12-01T00:00:00Z
1550000001,1650000000,2022-03-01T00:00:00Z
1650000001,1750000000,2022-06-01T00:00:00Z
1750000001,1850000000,2022-09-01T00:00:00Z
1850000001,1950000000,2022-12-01T00:00:00Z
1950000001,2050000000,2023-03-01T00:00:00Z
2050000001,2150000000,2023-06-01T00:00:00Z
2150000001,2250000000,2023-09-01T00:00:00Z
2250000001,2350000000,2023-12-01T00:00:00Z
2350000001,2450000000,2024-03-01T00:00:00Z
2450000001,2550000000,2024-06-01T00:00:00Z
2550000001,2650000000,2024-09-01T00:00:00Z
2650000001,2750000000,2024-11-01T00:00:00Z
2750000001,3000000000,2024-12-15T00:00:00Z
7000000000,8000000000,2025-01-01T00:00:00Z
